sid,term_id,year_start,semester,term_order,club_event_count,club_active_flag,lib_visit_count,lib_unique_gate,door_event_count,door_unique_ctrl
pjwrqxbj985,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwrqxbj988,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwrqxbj991,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwrqxbj992,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj993,2020-2021-T2,2020,2,20202,30,1,0.0,,0.0,
pjwrqxbj994,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj998,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwtqxbj913,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtqxbj914,2020-2021-T2,2020,2,20202,10,1,7.0,3.0,0.0,
pjwtqxbj918,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwtqxbj920,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj921,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjwtqxbj922,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtqxbj925,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj928,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj929,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj930,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj931,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtqxbj932,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj933,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwtqxbj935,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj939,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwtqxbj941,2020-2021-T2,2020,2,20202,2,0,92.0,4.0,0.0,
pjwtqxbj942,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj943,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj944,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj946,2020-2021-T2,2020,2,20202,4,1,8.0,4.0,0.0,
pjwtqxbj947,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj950,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwtqxbj952,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj953,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj954,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjwtqxbj957,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj959,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtqxbj960,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj965,2020-2021-T2,2020,2,20202,18,1,37.0,6.0,0.0,
pjwtqxbj967,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj968,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj969,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtqxbj971,2020-2021-T2,2020,2,20202,4,1,89.0,7.0,0.0,
pjwtqxbj972,2020-2021-T2,2020,2,20202,2,0,25.0,6.0,0.0,
pjwtqxbj974,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwtqxbj976,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjwtqxbj977,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwtqxbj979,2020-2021-T2,2020,2,20202,2,0,24.0,4.0,0.0,
pjwtqxbj982,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtqxbj983,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtqxbj984,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj985,2020-2021-T2,2020,2,20202,24,1,0.0,,0.0,
pjwtqxbj987,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjwtqxbj988,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwtqxbj993,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwtqxbj998,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwtzxbj996,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwuzxbj992,2020-2021-T2,2020,2,20202,10,1,16.0,5.0,0.0,
pjwuzxbj995,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxpqxbj914,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxpqxbj915,2020-2021-T2,2020,2,20202,2,0,8.0,4.0,0.0,
pjxpqxbj916,2020-2021-T2,2020,2,20202,2,0,108.0,7.0,0.0,
pjxpqxbj918,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj919,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxpqxbj925,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxpqxbj926,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj927,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj932,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxpqxbj933,2020-2021-T2,2020,2,20202,2,0,74.0,5.0,0.0,
pjxpqxbj934,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxpqxbj937,2020-2021-T2,2020,2,20202,2,0,61.0,6.0,0.0,
pjxpqxbj941,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxpqxbj945,2020-2021-T2,2020,2,20202,2,0,2.0,2.0,0.0,
pjxpqxbj946,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj954,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxpqxbj955,2020-2021-T2,2020,2,20202,2,0,9.0,3.0,0.0,
pjxpqxbj956,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj957,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxpqxbj963,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj967,2020-2021-T2,2020,2,20202,4,1,126.0,5.0,0.0,
pjxpqxbj969,2020-2021-T2,2020,2,20202,2,0,22.0,3.0,0.0,
pjxpqxbj972,2020-2021-T2,2020,2,20202,2,0,4.0,2.0,0.0,
pjxpqxbj973,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxpqxbj975,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj976,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxpqxbj977,2020-2021-T2,2020,2,20202,6,1,153.0,6.0,0.0,
pjxpqxbj978,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxpqxbj979,2020-2021-T2,2020,2,20202,2,0,11.0,1.0,0.0,
pjxpqxbj981,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxpqxbj985,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxpqxbj986,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxpqxbj992,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxpqxbj994,2020-2021-T2,2020,2,20202,16,1,41.0,5.0,0.0,
pjxpqxbj997,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxqqxbj949,2020-2021-T2,2020,2,20202,6,1,332.0,7.0,0.0,
pjxqqxbj951,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxqqxbj954,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxqqxbj957,2020-2021-T2,2020,2,20202,10,1,37.0,5.0,0.0,
pjxqqxbj959,2020-2021-T2,2020,2,20202,6,1,16.0,3.0,0.0,
pjxqqxbj961,2020-2021-T2,2020,2,20202,10,1,45.0,5.0,0.0,
pjxqqxbj964,2020-2021-T2,2020,2,20202,2,0,23.0,5.0,0.0,
pjxqqxbj967,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxqqxbj969,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxqqxbj974,2020-2021-T2,2020,2,20202,12,1,47.0,5.0,0.0,
pjxqqxbj975,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxqqxbj977,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxqqxbj979,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxqqxbj981,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxqqxbj982,2020-2021-T2,2020,2,20202,10,1,40.0,4.0,0.0,
pjxqqxbj983,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxqqxbj985,2020-2021-T2,2020,2,20202,4,1,35.0,7.0,0.0,
pjxqqxbj986,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxqqxbj988,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxqqxbj989,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxqqxbj991,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxqqxbj996,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxqqxbj997,2020-2021-T2,2020,2,20202,26,1,0.0,,0.0,
pjxqqxbj998,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxqzxbj967,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxqzxbj975,2020-2021-T2,2020,2,20202,22,1,32.0,4.0,0.0,
pjxqzxbj979,2020-2021-T2,2020,2,20202,20,1,0.0,,0.0,
pjxqzxbj980,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxqzxbj982,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxqzxbj984,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxqzxbj985,2020-2021-T2,2020,2,20202,4,1,2.0,2.0,0.0,
pjxqzxbj989,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxqzxbj994,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxqzxbj996,2020-2021-T2,2020,2,20202,22,1,0.0,,0.0,
pjxqzxbj997,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxrqxbj891,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxrqxbj892,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxrqxbj894,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxrqxbj898,2020-2021-T2,2020,2,20202,20,1,0.0,,0.0,
pjxrqxbj901,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxrqxbj903,2020-2021-T2,2020,2,20202,22,1,44.0,5.0,0.0,
pjxrqxbj905,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxrqxbj908,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxrqxbj909,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxrqxbj911,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxrqxbj916,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxrqxbj918,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxrqxbj919,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxrqxbj928,2020-2021-T2,2020,2,20202,20,1,0.0,,0.0,
pjxrqxbj930,2020-2021-T2,2020,2,20202,22,1,0.0,,0.0,
pjxrqxbj937,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxrqxbj939,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxrqxbj942,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxrqxbj943,2020-2021-T2,2020,2,20202,22,1,259.0,5.0,0.0,
pjxrqxbj944,2020-2021-T2,2020,2,20202,22,1,0.0,,0.0,
pjxrqxbj945,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxrqxbj951,2020-2021-T2,2020,2,20202,20,1,0.0,,0.0,
pjxrqxbj952,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxrqxbj954,2020-2021-T2,2020,2,20202,20,1,0.0,,0.0,
pjxrqxbj955,2020-2021-T2,2020,2,20202,24,1,49.0,6.0,0.0,
pjxrqxbj957,2020-2021-T2,2020,2,20202,20,1,44.0,5.0,0.0,
pjxrqxbj958,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxrqxbj961,2020-2021-T2,2020,2,20202,20,1,0.0,,0.0,
pjxrqxbj962,2020-2021-T2,2020,2,20202,22,1,4.0,4.0,0.0,
pjxrqxbj963,2020-2021-T2,2020,2,20202,16,1,6.0,4.0,0.0,
pjxrqxbj969,2020-2021-T2,2020,2,20202,28,1,0.0,,0.0,
pjxrqxbj971,2020-2021-T2,2020,2,20202,22,1,0.0,,0.0,
pjxrqxbj972,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxrqxbj973,2020-2021-T2,2020,2,20202,8,1,20.0,3.0,0.0,
pjxrqxbj978,2020-2021-T2,2020,2,20202,24,1,0.0,,0.0,
pjxrqxbj981,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxrqxbj983,2020-2021-T2,2020,2,20202,32,1,0.0,,0.0,
pjxrqxbj988,2020-2021-T2,2020,2,20202,4,1,6.0,1.0,0.0,
pjxrqxbj990,2020-2021-T2,2020,2,20202,26,1,88.0,6.0,0.0,
pjxrqxbj992,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxrqxbj994,2020-2021-T2,2020,2,20202,22,1,0.0,,0.0,
pjxrqxbj996,2020-2021-T2,2020,2,20202,10,1,13.0,6.0,0.0,
pjxsqxbj751,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj752,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj760,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj764,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj765,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj768,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj771,2020-2021-T2,2020,2,20202,2,0,19.0,4.0,0.0,
pjxsqxbj772,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj777,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj778,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj779,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj780,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj784,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj786,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj787,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj788,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxsqxbj789,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj790,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj792,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj796,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj800,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj801,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj807,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj808,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxsqxbj809,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj810,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj811,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj812,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj815,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj816,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj820,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj821,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj823,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj824,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj825,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxsqxbj826,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj827,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj829,2020-2021-T2,2020,2,20202,14,1,17.0,2.0,0.0,
pjxsqxbj831,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj840,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj843,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj844,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj849,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxsqxbj851,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj856,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxsqxbj857,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj859,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj862,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj863,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj864,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj867,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxsqxbj871,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxsqxbj872,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj873,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxsqxbj874,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj876,2020-2021-T2,2020,2,20202,10,1,29.0,5.0,0.0,
pjxsqxbj877,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxsqxbj880,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj881,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxsqxbj882,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxsqxbj884,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj885,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxsqxbj886,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj887,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxsqxbj888,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj892,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj893,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj894,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj897,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj899,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxsqxbj900,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxsqxbj904,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj905,2020-2021-T2,2020,2,20202,10,1,61.0,6.0,0.0,
pjxsqxbj906,2020-2021-T2,2020,2,20202,8,1,59.0,5.0,0.0,
pjxsqxbj908,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj909,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj912,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxsqxbj916,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxsqxbj918,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj920,2020-2021-T2,2020,2,20202,16,1,0.0,,0.0,
pjxsqxbj921,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj922,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj925,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj927,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxsqxbj929,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj932,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxsqxbj934,2020-2021-T2,2020,2,20202,30,1,0.0,,0.0,
pjxsqxbj936,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj938,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj940,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxsqxbj941,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj942,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxsqxbj944,2020-2021-T2,2020,2,20202,8,1,7.0,5.0,0.0,
pjxsqxbj946,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj949,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj953,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj954,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj957,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxsqxbj962,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj965,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj966,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj968,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxsqxbj969,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj970,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj971,2020-2021-T2,2020,2,20202,16,1,32.0,5.0,0.0,
pjxsqxbj976,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj980,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxsqxbj981,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxsqxbj982,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxsqxbj983,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj984,2020-2021-T2,2020,2,20202,22,1,0.0,,0.0,
pjxsqxbj985,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj986,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxsqxbj989,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj994,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjxsqxbj995,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjxsqxbj996,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxsqxbj997,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjxsqxbj998,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxtztbj996,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxtztbj997,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxtzxfj980,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjxtzxfj981,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjxtzxfj994,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjxuqwbj445,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjxuqwbj446,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxuqwbj449,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjxuqwbj450,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
