XH,TERM_ID,NEXT_TERM_ID,LABEL,LABEL_REASON
pjwrqxbj884,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbk531,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxpqxbj955,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj911,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk364,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk604,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbj903,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbj525,2020-2021-2,2021-2022-1,0,next_term_normal
pjwtqxbj979,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxkj998,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk843,2020-2021-1,2020-2021-2,0,next_term_normal
pjxpqxbj956,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj273,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk047,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk836,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj980,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxtzxfj981,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxtzxfj983,2020-2021-1,2020-2021-2,0,next_term_normal
pjxsqxbj892,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj924,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl751,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj997,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj546,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj928,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj391,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj857,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxqzxbj975,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj698,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj507,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbj780,2020-2021-2,2021-2022-1,0,next_term_normal
pjxrqxbj983,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxwzxfj975,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbk754,2020-2021-2,2021-2022-1,0,next_term_normal
pjxtzxfj980,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj485,2020-2021-2,2021-2022-1,0,next_term_normal
pjxxztfj975,2020-2021-1,2020-2021-2,0,next_term_normal
pjxxztfj972,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk389,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjwrqxbj890,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj984,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj987,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxwzxfj983,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj981,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj977,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj983,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxfj984,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj830,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk378,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk198,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk804,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj405,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxqzxbj980,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj061,2020-2021-2,2021-2022-1,0,next_term_normal
pjxtzxfj978,2020-2021-1,2020-2021-2,0,next_term_normal
pjxtzxfj994,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxztfj992,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxztfj991,2020-2021-1,2020-2021-2,0,next_term_normal
pjxxztfj988,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxztfj986,2020-2021-1,2020-2021-2,0,next_term_normal
pjxxztfj982,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjwuzxbj995,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxxxbj923,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbk755,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk522,2020-2021-2,2021-2022-1,0,next_term_normal
pjvyzxbj997,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl858,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk434,2020-2021-2,2021-2022-1,0,next_term_normal
pjwtqxbj947,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj044,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk131,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxfj987,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwzxfj981,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwzxfj992,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxpqxbj976,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj956,2020-2021-1,2020-2021-2,0,next_term_normal
pjxpqxbj955,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxfj977,2020-2021-1,2020-2021-2,0,next_term_normal
pjxrqxbj963,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxuzsfj978,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxfj993,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj038,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk705,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj845,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjvyzvfj998,2020-2021-1,2020-2021-2,0,next_term_normal
pjxtzxfj982,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj139,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxuzsfj981,2020-2021-1,2020-2021-2,0,next_term_normal
pjvyzvfj994,2020-2021-1,2020-2021-2,0,next_term_normal
pjvyzvfj974,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj528,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj312,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuzsfj988,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj433,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl964,2020-2021-2,2021-2022-1,0,next_term_normal
pjxrqxbj937,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjvyzvfj989,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbk808,2020-2021-2,2021-2022-1,0,next_term_normal
pjxvztfj992,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvztfj991,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvztfj990,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxbj985,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk342,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxuzsfj995,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbk541,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj676,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvzxfj998,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvztfj994,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxpqxbj972,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxpqxbj920,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxvzxfj972,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk121,2020-2021-2,2021-2022-1,0,next_term_normal
pjxvzxfj970,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj766,2020-2021-2,2021-2022-1,0,next_term_normal
pjxxztfj997,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxztfj995,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj919,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl946,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj946,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj121,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk059,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl742,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxvzxfj987,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj166,2020-2021-2,2021-2022-1,0,next_term_normal
pjwrqxbj992,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbl797,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbl975,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj337,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl769,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxsqxbj880,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj485,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxwxxbj905,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj718,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj945,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbl673,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxuqwbj877,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbj946,2020-2021-2,2021-2022-1,0,next_term_normal
pjxvzxfj988,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuzsfj980,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbl904,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj701,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj415,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj305,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbl876,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk330,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvzrfj997,2020-2021-1,2020-2021-2,0,next_term_normal
pjxpqxbj992,2020-2021-1,2020-2021-2,0,next_term_normal
pjwtqxbj942,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxuqwbj796,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj506,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj368,2020-2021-1,2020-2021-2,0,next_term_normal
pjwrqxbj973,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvzxfj982,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvzxfj980,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxxxbj915,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwxxbj916,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxvztfj977,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvztfj976,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvztfj974,2020-2021-1,2020-2021-2,0,next_term_normal
pjxpqxbj916,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj723,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxvztfj980,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxtzxfj986,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbk510,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj947,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxvzrfj975,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk098,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj555,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj945,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbk834,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj969,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj968,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuzsfj983,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj355,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk319,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk723,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxuqwbj679,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxuzsfj977,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj164,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj188,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj325,2020-2021-2,2021-2022-1,0,next_term_normal
pjxsqxbj929,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj981,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj785,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj093,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxsqxbj825,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj944,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbj139,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk199,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj991,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbl743,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl985,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj975,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj063,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjwrqxbj923,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxuzsfj984,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj840,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj647,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj962,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj060,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj190,2020-2021-2,2021-2022-1,0,next_term_normal
pjxsqxbj792,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxvzxbj997,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbl930,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj910,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj129,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbk607,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj848,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj422,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxxxxbj941,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj088,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk965,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj566,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxrqxbj916,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj380,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk549,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj455,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj725,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk163,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjwrqxbj911,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbk943,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj862,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj644,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbk910,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk969,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxvzrfj978,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvzrfj981,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj074,2020-2021-2,2021-2022-1,0,next_term_normal
pjxpqxbj933,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj908,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk841,2020-2021-2,2021-2022-1,0,next_term_normal
pjwrqxbj923,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj857,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj799,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxuqwbj474,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxuqwbj848,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj963,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj918,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj928,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbk523,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj964,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxsqxbj779,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj522,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk452,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj271,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj174,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj100,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj972,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj945,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj930,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxkj996,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk722,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj983,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk204,2020-2021-1,2021-2022-1,0,next_term_normal
pjxwxxbj914,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj943,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj924,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj941,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk751,2020-2021-1,2020-2021-2,0,next_term_normal
pjxxxxbj915,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj953,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk343,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj981,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj419,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk491,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj915,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj970,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj992,2020-2021-1,2020-2021-2,0,next_term_normal
pjxpqxbj945,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj074,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj946,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj940,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj938,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj899,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj910,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj960,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj951,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj907,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwxxbj967,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwxxbj995,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj856,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj114,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbk859,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbj407,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbk148,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbl982,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxwzxfj994,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj993,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj992,2020-2021-2,2021-2022-1,0,next_term_normal
pjxwzxfj991,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj952,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk935,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj546,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk549,2020-2021-1,2020-2021-2,0,next_term_normal
pjxpqxbj915,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjvyzvfj977,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxsqxbj932,2020-2021-1,2020-2021-2,0,next_term_normal
pjxsqxbj918,2020-2021-1,2020-2021-2,0,next_term_normal
pjxsqxbj904,2020-2021-1,2020-2021-2,0,next_term_normal
pjxsqxbj876,2020-2021-1,2020-2021-2,0,next_term_normal
pjxsqxbj862,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxsqxbj834,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxsqxbj820,2020-2021-1,2020-2021-2,0,next_term_normal
pjxsqxbj792,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxsqxbj778,2020-2021-1,2020-2021-2,0,next_term_normal
pjxsqxbj764,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk903,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk715,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxbj990,2020-2021-1,2020-2021-2,0,next_term_normal
pjwtqxbj928,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbl684,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbl763,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbl755,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbl747,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbl739,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj646,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj552,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj223,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj779,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj737,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj653,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj927,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj833,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj739,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj692,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj598,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj410,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj858,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqwbj385,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj075,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj569,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj527,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj485,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj443,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxxxbj987,2020-2021-1,2020-2021-2,0,next_term_normal
pjxxxxbj945,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj862,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj736,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj694,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj610,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj484,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj400,2020-2021-1,2020-2021-2,0,next_term_normal
pjxxxxbj944,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj511,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
