XH,TERM_ID,NEXT_TERM_ID,LABEL,LABEL_SUBTYPE,LABEL_REASON
pjxyqxbj761,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk253,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbj884,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk778,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjwrqxbj884,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbk531,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxpqxbj955,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj911,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk364,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk604,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbj903,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbj525,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjwtqxbj979,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxkj998,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk843,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxpqxbj956,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj273,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk047,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk836,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj980,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxtzxfj981,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxtzxfj983,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxsqxbj892,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj924,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl751,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj997,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj546,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj928,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj391,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj857,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxqzxbj975,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj698,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj507,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbj780,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxrqxbj983,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxwzxfj975,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbk754,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxtzxfj980,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj485,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxxztfj975,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxxztfj972,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk389,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjwrqxbj890,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj984,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj987,2020-2021-2,2021-2022-1,1,overall_low,next_term_overall_low
pjxwzxfj983,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj981,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj977,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj983,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxfj984,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj830,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk378,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk198,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk804,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj405,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxqzxbj980,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj061,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxtzxfj978,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxtzxfj994,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxztfj992,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxztfj991,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxxztfj988,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxztfj986,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxxztfj982,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjwuzxbj995,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxxxbj923,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbk755,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk522,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjvyzxbj997,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl858,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk434,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjwtqxbj947,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj044,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk131,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxfj987,2020-2021-1,2020-2021-2,1,overall_low,next_term_overall_low
pjxwzxfj981,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwzxfj992,2020-2021-1,2020-2021-2,1,overall_low,next_term_overall_low
pjxpqxbj976,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj956,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxpqxbj955,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxfj977,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxrqxbj963,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxuzsfj978,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxfj993,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbj038,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk705,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj845,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjvyzvfj998,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxtzxfj982,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj139,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxuzsfj981,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjvyzvfj994,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjvyzvfj974,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj528,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj312,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuzsfj988,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj433,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl964,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxrqxbj937,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjvyzvfj989,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbk808,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxvztfj992,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvztfj991,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvztfj990,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxbj985,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk342,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxuzsfj995,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbk541,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj676,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvzxfj998,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvztfj994,2020-2021-1,2020-2021-2,1,overall_low,next_term_overall_low
pjxpqxbj972,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxpqxbj920,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxvzxfj972,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk121,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxvzxfj970,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj766,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxxztfj997,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxztfj995,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj919,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl946,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj946,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj121,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk059,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl742,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxvzxfj987,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbj166,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjwrqxbj992,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbl797,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbl975,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj337,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl769,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxsqxbj880,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj485,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxwxxbj905,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj718,2020-2021-2,2021-2022-1,1,overall_low,next_term_overall_low
pjxyqxbj945,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbl673,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxuqwbj877,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbj946,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxvzxfj988,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuzsfj980,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbl904,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj701,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj415,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj305,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbl876,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk330,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvzrfj997,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxpqxbj992,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjwtqxbj942,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxuqwbj796,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj506,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj368,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjwrqxbj973,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvzxfj982,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvzxfj980,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxxxbj915,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwxxbj916,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxvztfj977,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvztfj976,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvztfj974,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxpqxbj916,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj723,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxvztfj980,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxtzxfj986,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbk510,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj947,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxvzrfj975,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk098,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj555,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj945,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbk834,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj969,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj968,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuzsfj983,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj355,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk319,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk723,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxuqwbj679,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxuzsfj977,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj164,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj188,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj325,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxsqxbj929,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj981,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj785,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj093,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxsqxbj825,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj944,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbj139,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk199,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj991,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbl743,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl985,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj975,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj063,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjwrqxbj923,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxuzsfj984,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj840,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj647,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj962,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj060,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj190,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxsqxbj792,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxvzxbj997,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbl930,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj910,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj129,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbk607,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj848,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbj422,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxxxxbj941,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj088,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk965,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj566,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxrqxbj916,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbj380,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk549,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj455,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj725,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbk163,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjwrqxbj911,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbk943,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbj862,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj644,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbk910,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk969,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxvzrfj978,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvzrfj981,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj074,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxpqxbj933,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj908,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk841,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjwrqxbj923,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj857,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj799,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxuqwbj474,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxuqwbj848,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj963,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj918,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj928,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbk523,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj964,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxsqxbj779,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj522,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk452,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj271,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj174,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj100,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj972,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj945,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj930,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxkj996,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk722,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj983,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk204,2020-2021-1,2021-2022-1,0,normal,next_term_normal
pjxwxxbj914,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj943,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj924,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj941,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk751,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxxxxbj915,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj953,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk343,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj981,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj419,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk491,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj915,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj970,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj992,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxpqxbj945,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj074,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj946,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj940,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj938,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj899,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj910,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj960,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj951,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj907,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwxxbj967,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwxxbj995,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbj856,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj114,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqwbk859,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqwbj407,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxyqxbk148,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbl982,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxwzxfj994,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj993,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj992,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxwzxfj991,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj952,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk935,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj546,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk549,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxpqxbj915,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjvyzvfj977,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxsqxbj932,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxsqxbj918,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxsqxbj904,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxsqxbj876,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxsqxbj862,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxsqxbj834,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxsqxbj820,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxsqxbj792,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxsqxbj778,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxsqxbj764,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk903,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk715,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxbj990,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjwtqxbj928,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbl684,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbl763,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbl755,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbl747,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbl739,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbj646,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj552,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj223,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj779,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj737,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj653,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj927,2020-2021-1,2020-2021-2,0,normal,next_term_normal
